,Name,LifeSat,CountryCode,Region,HDI,LE,EYS,MYS,GNI
1,Afghanistan,3.794,AFG,South Asia,0.495959523,64.486,10.13892,3.93,1745.665705
2,Albania,4.644,ALB,Europe & Central Asia,0.791405876,78.458,15.23,10.0546184,12299.79934
3,Algeria,5.872,DZA,Middle East & North Africa,0.758977697,76.693,14.7193787,7.986547848,13639.43491
4,Angola,3.795,AGO,Sub-Saharan Africa,0.574487758,60.782,11.777202,5.125459533,5554.697384
5,Argentina,6.599,ARG,Latin America & Caribbean,0.830095812,76.52,17.63836,10.56496472,17611.21813
6,Armenia,4.376,ARM,Europe & Central Asia,0.760010886,74.945,13.16837,11.793905,9277.232829
7,Australia,7.284,AUS,East Asia & Pacific,0.938378552,83.281,22.10372,12.68304986,44097.01934
8,Austria,7.006,AUT,Europe & Central Asia,0.913808548,81.434,16.28676,12.55851074,46230.57167
9,Azerbaijan,5.234,AZE,Europe & Central Asia,0.753868661,72.864,12.40123094,10.47972,15240.14392
10,Bahrain,6.087,BHR,Middle East & North Africa,0.83777019,77.163,15.25713,9.411832983,40399.11872
11,Bangladesh,4.608,BGD,South Asia,0.613679337,72.32,11.20449,6.06183,4057.250181
12,Belarus,5.569,BLR,Europe & Central Asia,0.817067987,74.59,15.35894,12.30584324,17038.52852
13,Belgium,6.891,BEL,Europe & Central Asia,0.918841197,81.468,19.69991,11.78389183,43820.84204
14,Belize,5.956,BLZ,Latin America & Caribbean,0.720169787,74.496,13.12334,9.795835793,7135.969704
15,Benin,3.657,BEN,Sub-Saharan Africa,0.519834165,61.47,12.61455,3.774,2134.589379
16,Bhutan,5.011,BTN,South Asia,0.617298752,71.46,12.12799313,3.137561559,8609.115446
17,Bosnia and Herzegovina,5.182,BIH,Europe & Central Asia,0.769187275,77.262,13.78761333,9.692916034,12689.68076
18,Botswana,3.766,BWA,Sub-Saharan Africa,0.727787114,69.275,12.69723496,9.33,15951.3304
19,Brazil,6.635,BRA,Latin America & Caribbean,0.761152823,75.672,15.39694,7.84104675,14068.04766
20,Bulgaria,4.714,BGR,Europe & Central Asia,0.815710786,74.928,14.81046,11.81482978,19645.936
21,Burkina Faso,4.032,BFA,Sub-Saharan Africa,0.433547049,61.174,8.90646,1.585573608,1705.485422
22,Burundi,2.905,BDI,Sub-Saharan Africa,0.422881598,61.247,11.30463,3.124365,659.7322625
23,Cambodia,4.168,KHM,East Asia & Pacific,0.58148498,69.57,11.33676945,4.844,3597.396365
24,Cameroon,4.695,CMR,Sub-Saharan Africa,0.562725314,58.921,12.7494,6.2917,3291.127921
25,Canada,7.316,CAN,North America,0.922111309,82.315,16.09144,13.31536312,43602.24929
26,Central African Republic,2.693,CAF,Sub-Saharan Africa,0.380662111,52.805,7.56836,4.282,776.6759961
27,Chad,3.936,TCD,Sub-Saharan Africa,0.401175968,53.977,7.465364,2.409497071,1715.568235
28,Chile,6.652,CHL,Latin America & Caribbean,0.846947982,80.042,16.53156,10.4469855,21972.27872
29,China,5.273,CHN,East Asia & Pacific,0.757587429,76.704,13.88891653,7.9,16126.56804
30,Colombia,6.357,COL,Latin America & Caribbean,0.760894931,77.109,14.59814,8.3265809,12895.59491
31,Costa Rica,7.079,CRI,Latin America & Caribbean,0.793519946,80.095,15.37714,8.6671837,14789.93488
32,Ivory Coast,4.18,CIV,Sub-Saharan Africa,0.515747128,57.422,9.62984,5.192,3589.405001
33,Croatia,5.293,HRV,Europe & Central Asia,0.837313319,78.342,14.96245,11.40518282,23060.96179
34,Cyprus,5.621,CYP,Europe & Central Asia,0.872955394,80.828,14.67400082,12.10394114,33100.31857
35,Denmark,7.522,DNK,Europe & Central Asia,0.929946115,80.784,19.06606,12.58778516,48836.09375
